"agency_id","route_id","route_short_name","route_long_name","route_desc","route_type","route_color","route_text_color","route_url","route_bikes_allowed","route_id_import","gate","hidden","last_modified"
"25","152","2","","\N","3","ffaa00","000000","http://www.rabaride.com/routes/2.html","2","0","\N","0","0001-01-01 00:00:00"
"25","151","1","","","3","d20055","ffffff","http://www.rabaride.com/routes/1.html","2","0","\N","0","0001-01-01 00:00:00"
"25","153","3","","\N","3","0096ce","ffffff","http://www.rabaride.com/routes/3.html","2","0","\N","0","0001-01-01 00:00:00"
"25","155","5","","\N","3","1ad1ff","000000","http://www.rabaride.com/routes/5.html","2","0","\N","0","0001-01-01 00:00:00"
"25","156","6","","\N","3","fe001a","ffffff","http://www.rabaride.com/routes/6.html","2","0","\N","0","0001-01-01 00:00:00"
"25","157","7","","\N","3","fbff02","000000","http://www.rabaride.com/routes/7.html","2","0","\N","0","0001-01-01 00:00:00"
"25","158","9","","\N","3","1f18b1","ffffff","http://www.rabaride.com/routes/9.html","2","0","\N","0","0001-01-01 00:00:00"
"25","159","11","","\N","3","00948d","ffffff","http://www.rabaride.com/routes/11.html","2","0","\N","0","0001-01-01 00:00:00"
"25","160","14","","\N","3","03bf75","ffffff","http://www.rabaride.com/routes/14.html","2","0","\N","0","0001-01-01 00:00:00"
"25","161","","Burney Express","\N","3","ff0000","ffffff","http://www.rabaride.com/routes/burneyexpress.html","2","0","\N","0","0001-01-01 00:00:00"
"25","154","4","","","3","00519e","ffffff","http://www.rabaride.com/routes/4.html","2","0","\N","0","0001-01-01 00:00:00"
"25","1093","","Airport Express","","3","000000","ffffff","http://www.rabaride.com/routes/airportexpress.html","0","","\N","0","2013-06-17 21:11:35"
"25","1886","2W","","","3","\N","\N","","0","","\N","0","2015-03-05 18:34:20.499021"
"25","1887","2E","","","3","\N","\N","","0","","\N","0","2015-03-05 18:34:27.63513"
"25","1888","6N","","","3","\N","\N","","0","","\N","0","2015-03-05 19:02:14.382809"
"25","1889","6S","","","3","\N","\N","","0","","\N","0","2015-03-05 19:02:20.80943"
"25","1885","","School Express","","3","\N","\N","","2","","\N","0","2015-03-03 21:02:50.600702"
