trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
115086A1597B2874,13:30:00,13:30:00,782723,1,,0,0,0
115086A1597B2874,13:32:00,13:32:00,783763,2,,0,0,0.20491074
115086A1597B2874,13:34:00,13:34:00,782724,3,,0,0,0.79612475
115086A1597B2874,13:35:00,13:35:00,782835,4,,0,0,1.17922442
115086A1597B2874,13:36:00,13:36:00,782837,5,,0,0,1.89100713
115086A1597B2874,13:38:00,13:38:00,782838,6,,0,0,2.42549773
115086A1597B2874,13:40:00,13:40:00,782840,7,,0,0,3.26940503
115086A1597B2874,13:41:00,13:41:00,782842,8,,0,0,4.02539699
115086A1597B2874,13:43:00,13:43:00,782832,9,,0,0,4.70924367
115086A1597B2874,13:45:00,13:45:00,782725,10,,0,0,5.99897714
115086A1597B2874,13:51:00,13:51:00,782843,11,,0,0,7.16197852
115086A1597B2874,,,782720,12,,2,3,8.04213129
115086A1597B2874,13:55:00,13:55:00,782844,13,,0,0,10.80410066
115086A1597B2874,13:59:00,13:59:00,782729,14,,0,0,13.03343497
115086A1597B2874,14:02:00,14:02:00,782758,15,,0,0,13.73710487
115086A1597B2874,14:05:00,14:05:00,783765,16,,0,0,14.78861004
115086A1597B2874,14:06:00,14:06:00,782759,17,,0,0,14.94908978
115086A1597B2874,14:09:00,14:09:00,782727,18,,0,0,16.41553539
115086A1597B2874,14:10:00,14:10:00,782728,19,,0,0,16.72457354
115086A1597B2874,,,782729,20,,2,3,17.1500557
115086A1597B2874,14:18:00,14:18:00,782751,21,,0,0,19.97569217
115086A1597B2874,14:25:00,14:25:00,782761,22,,0,0,22.22079944
102243A1597B2874,15:30:00,15:30:00,782812,1,,0,0,0
102243A1597B2874,15:32:00,15:32:00,782825,2,,0,0,0.39684375
102243A1597B2874,15:33:00,15:33:00,782816,3,,0,0,0.6287428
102243A1597B2874,15:35:00,15:35:00,782817,4,,0,0,0.79866142
102243A1597B2874,15:37:00,15:37:00,782818,5,,0,0,1.09968583
102243A1597B2874,15:38:00,15:38:00,782819,6,,0,0,1.36165078
102243A1597B2874,15:42:00,15:42:00,782821,7,,0,0,1.83133789
102243A1597B2874,15:45:00,15:45:00,782822,8,,0,0,2.23027411
102243A1597B2874,15:48:00,15:48:00,782824,9,,0,0,2.53918177
102243A1597B2874,15:50:00,15:50:00,782826,10,,0,0,2.9329026
102243A1597B2874,15:52:00,15:52:00,782828,11,,0,0,3.54446538
102243A1597B2874,15:53:00,15:53:00,782829,12,,0,0,3.69940802
102243A1597B2874,15:55:00,15:55:00,782830,13,,0,0,4.15530372
102243A1597B2874,16:29:00,16:29:00,782795,14,,0,0,32.56375196
102243A1597B2874,16:37:00,16:37:00,783768,15,,0,0,35.1574274
102243A1597B2874,16:44:00,16:44:00,782781,16,,0,0,37.71170783
102243A1597B2874,16:57:00,16:57:00,782752,17,,0,0,46.09024551
102243A1597B2874,17:05:00,17:05:00,782847,18,,2,3,49.38860558
102227A1597B2874,05:20:00,05:20:00,782847,1,,0,0,0
102227A1597B2874,05:30:00,05:30:00,782729,2,,0,0,5.81285501
102227A1597B2874,05:40:00,05:40:00,782752,3,,0,0,9.08427727
102227A1597B2874,05:52:00,05:52:00,782781,4,,0,0,17.29359725
102227A1597B2874,06:31:00,06:31:00,782805,5,,0,0,48.71335358
102227A1597B2874,06:32:00,06:32:00,782806,6,,0,0,49.23406601
102227A1597B2874,06:35:00,06:35:00,782807,7,,0,0,49.47007408
102227A1597B2874,06:37:00,06:37:00,782808,8,,0,0,49.85128998
102227A1597B2874,06:39:00,06:39:00,782809,9,,0,0,50.07557704
102227A1597B2874,06:41:00,06:41:00,782810,10,,0,0,50.20833425
102227A1597B2874,06:43:00,06:43:00,782811,11,,0,0,50.3955406
102227A1597B2874,06:45:00,06:45:00,782812,12,,0,0,50.69626045
102227A1597B2874,06:47:00,06:47:00,782825,13,,0,0,51.09450755
