stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
782794,EDT510,,Mother Lode Dr. and South Shingle Rd.  ,,38.662085,-120.936137,0,,0,,
782743,EDT312,,Home Depot (Placerville Dr.),,38.7323830868535,-120.823716602343,,,0,,
782855,,,Tribal Health,,38.693419,-120.903563,,,0,,
782815,EDT144,,J St. at 6th St.,,38.581673,-121.498451,0,,0,,
785358,,,El Dorado High School,,38.7324696295042,-120.813573902061,,,0,,
782752,EDT906,,El Dorado County Fairgrounds Park & Ride,,38.72682,-120.834307,0,,0,,
782841,EDT336,,Pony Express Trail and Alder Rd.,,38.745215,-120.630683,,,0,,
782783,EDT550,,Palmer Dr. (West),,38.661469,-120.966103,,,0,,
788378,,,Fowler Way,,38.726785,-120.792377,,,0,,
782817,EDT116,,8th St. at I St.,,38.58237,-121.495436,0,,0,,
782825,EDT124,,8th St. at N St.,,38.576891,-121.497782,0,,0,,
782810,EDT160,,P St. at 11th St.,,38.573381,-121.49472,0,,0,,
782791,EDT440,,Market Ct.,,38.654621,-120.948815,,,0,,
782722,EDT308,,Pollock Pines Post Office,,38.759343,-120.591525,0,,0,,
782749,,,Placerville Snowline Hospice,,38.73386,-120.830795,0,,0,,
782728,EDT224,,Broadway and Carson Rd.,,38.731348,-120.785501,0,,0,,
782792,EDT542,,Durock Rd. and Presley Ln.,,38.660443,-120.942526,,,0,,
782800,EDT914,,Vine St. & Mercedes Ln. Park and Ride ,,38.653706,-121.06335,0,,0,,
782818,EDT136,,H St. at 11th St.,,38.581998,-121.49097,0,,0,,
782779,EDT416,,Prospector Plaza,,38.712074,-120.842994,0,,0,,
782780,EDT500,,El Dorado Transit Offices,,38.6933458315986,-120.828325273645,,,0,,
782742,EDT244,,DMV (Placerville Office),,38.734354,-120.825387,0,,0,,
782836,EDT340,,Pony Express Trail and Blair Rd.,,38.752845,-120.605358,,,0,,
782731,EDT240,,Cottonwood Senior Apartments,,38.734915,-120.795987,0,,0,,
782827,EDT186,,Q St. at 16th St.,,38.570237,-121.488249,0,,0,,
782847,EDT904,,Central Park and Ride (Commerce Wy.),,38.693755,-120.828616,,,0,,
782813,EDT108,,5th St. at N St.,,38.577812,-121.502121,0,,0,,
782771,EDT436,,Golden Center Dr.,,38.705256,-120.826903,,,0,,
782753,EDT200,,Raley's (Placerville Dr.),,38.72674,-120.835481,0,,0,,
782770,,,Golden Center Court (Building #1),,38.706719,-120.826489,0,,0,,
782858,EDT368,,Pony Express Trail & School St.,,38.76151,-120.584904,,,0,,
782756,EDT250,,Forni Rd. and Lo Hi Way,,38.721141,-120.830753,0,,0,,
782762,EDT432,,Pleasant Valley Rd. and Diamond Meadows Way,,38.694294,-120.814965,,,0,,
782801,EDT604,,Folsom Lake College/Folsom,,38.661156,-121.126414,0,,0,,
782747,,,Ridgecrest Apartments,,38.7398423554208,-120.828680968088,,,0,,
783767,EDT372,,Pony Express Trail and Trap Ln.,,38.757038,-120.594342,,,0,,
782726,EDT272,,Woodman Circle,,38.736481,-120.778746,0,,0,,
782740,,,Bee St. and Coloma St.,,38.7316401876583,-120.806697093254,,,0,,
782781,EDT908,,Ponderosa Rd. Park and Ride,,38.663324,-120.938859,,,0,,
782798,,,Country Club Dr. and Garden Circle,,38.660326,-120.980355,0,,0,,
782787,EDT512,,Cimmarron Rd. and La Canada,,38.695783,-120.996662,,,0,,
782839,EDT364,,Pony Express Trail and Ridgeway Dr.,,38.749355,-120.618284,,,0,,
782754,EDT208,,Placerville Library,,38.728235,-120.827411,,,0,,
782758,EDT248,,Gold Country Inn,,38.7320004601282,-120.781678595279,,,0,,
782775,,,Safeway Plaza (Missouri Flat Rd.),,38.712952,-120.839699,0,,0,,
782797,EDT522,,Country Club Dr. and Cambridge Rd.,,38.66042,-120.995281,0,,0,,
783762,EDT526,,La Crescenta Dr. and Green Valley Rd.,,38.699699,-120.989946,,,0,,
785359,EDT380,,Smith Flat Rd. & County Rd. 145,,38.732464,-120.751468,,,0,,
782737,EDT268,,Tunnel St. Apartments,,38.733764998654,-120.803519186508,,,0,,
782778,,,Green Valley Church,,38.716905,-120.859944,0,,0,,
782730,EDT212,,Old Placerville City Hall,,38.729558,-120.800077,0,,0,,
782732,,,Clay St. and New Jersey Way,,38.73549,-120.794676,0,,0,,
782734,EDT218,,Marshall Hospital,,38.725104,-120.790604,,,0,,
782822,EDT128,,9th St. at L St.,,38.578046,-121.496079,0,,0,,
782761,EDT900,,Missouri Flat Transfer Center,,38.705876,-120.830223,0,,0,,
782820,EDT172,,15th St. at K St.,,38.577698,-121.486897,0,,0,,
782769,,,Lions Hall,,38.693567,-120.823482,0,,0,,
782784,EDT554,,Palmer Dr. and Kevin St. (Marshall Medical),,38.660788,-120.962804,,,0,,
782830,EDT194,,Q St. at 29th St.,,38.565587,-121.470962,0,,0,,
782853,EDT428,,Pleasant Valley Rd & Patterson Dr.,,38.68813,-120.83041,,,0,,
782773,,,Mother Lode Dr. and Blanchard Rd. (South),,38.699858,-120.849599,0,,0,,
782811,EDT178,,P St. at 9th St.,,38.574255,-121.497998,0,,0,,
782840,EDT336,,Pony Express Trail and Alder Rd.,,38.745186,-120.631335,,,0,,
782733,,,Midtown Mall,,38.729953,-120.792546,0,,0,,
782720,EDT324,,Camino Heights Park and Ride,,38.7361576286638,-120.710737560713,,,0,,
782772,,,Mother Lode Dr. and Blanchard Rd. (North),,38.699424,-120.851024,0,,0,,
782809,EDT164,,P St. at 13th St.,,38.572679,-121.492415,0,,0,,
782823,EDT156,,N St. at 14th St.,,38.57439,-121.489976,0,,0,,
783766,,,Highway 50 and Paul Bunyon,,38.737169,-120.718168,,,0,,
782765,EDT408,,Pearl Place and Courtside Dr.,,38.696798,-120.807698,0,,0,,
782788,EDT514,,Cambridge Rd. and Green Valley Rd.,,38.696929,-121.003459,0,,0,,
782806,EDT170,,P St. at 24th St.,,38.568778,-121.477664,,,0,,
782750,EDT214,,M.O.R.E. Workshop,,38.732754,-120.832716,,,0,,
782766,EDT414,,Independence High School,,38.693397,-120.821738,0,,0,,
782807,EDT168,,P St. at 21st St.,,38.569828,-121.481815,0,,0,,
782725,EDT316,,Carson Rd. and Larsen Dr.,,38.738199,-120.675989,0,,0,,
782751,EDT264,,Regal Theaters (Placerville Dr.),,38.7316089866726,-120.834726576895,,,0,,
782977,EDT500,,Red Hawk Casino,,38.695126,-120.908523,,,0,,
782812,EDT112,,5th St. at P St.,,38.575697,-121.502804,0,,0,,
782764,EDT418,,Victory Mine Bldg.,,38.695129,-120.807718,,,0,,
782821,EDT148,,L St. at 14th St.,,38.576841,-121.489311,0,,0,,
782844,EDT384,,Smith Flat Rd. and School St.,,38.733381,-120.753712,,,0,,
782729,EDT902,,Placerville Station Transfer Center,,38.733011,-120.789477,0,,0,,
782785,EDT556,,Palmer Dr. and Ponte Morino Dr.,,38.662269,-120.967093,,,0,,
782805,EDT100,,P St. at 30th St.,,38.566351,-121.468583,0,,0,,
782831,EDT324,,Carson Rd. and Hwy. 50,,38.7409802045012,-120.697630387732,,,0,,
782838,EDT360,,Pony Express Trail and Ridgeway Dr.,,38.749489,-120.618245,,,0,,
782843,EDT328,,Carson Rd. and Hwy. 50,,38.741029,-120.69719,,,0,,
782837,EDT348,,Pony Express Trail and Gilmore Rd.,,38.751307,-120.608805,,,0,,
782795,EDT910,,Cambridge Rd. Park and Ride ,,38.658345,-120.998573,0,,0,,
782802,,,Kaiser Folsom,,38.645005,-121.132602,0,,0,,
782814,EDT104,,5th St. at L St.,,38.578773,-121.502093,0,,0,,
783768,EDT912,,Rodeo Rd./Coach Ln. Park and Ride,,38.6574,-120.973485,,,0,,
782763,,,Panther Ln.,,38.691781,-120.81553,0,,0,,
782767,EDT424,,Pleasant Valley Rd. and Oro Ln.,,38.682325,-120.839929,,,0,,
782793,EDT534,,4050 Sunset Ln.,,38.661279,-120.933699,,,0,,
782829,EDT192,,Q St. at 23rd St.,,38.567738,-121.478941,,,0,,
783765,EDT392,,Broadway & Airport Rd.,,38.7298651845893,-120.764713790178,,,0,,
782777,EDT400,,"Folsom Lake College, El Dorado Center",,38.724604,-120.867626,0,,0,,
782790,EDT530,,Cameron Park Dr. and Meder Rd. (Airpark Center),,38.679507,-120.981992,0,,0,,
782835,EDT352,,Pony Express Trail and Kimberly Ln.,,38.756382,-120.59734,,,0,,
782738,EDT204,,Placerville Senior Center,,38.733796,-120.802645,0,,0,,
782842,EDT356,,Pony Express Trail and Mace Rd.,,38.7454936554166,-120.644753472387,,,0,,
782804,EDT232,,Iron Point L/R (Arr) End W/B,,38.644501,-121.190185,0,,0,,
782736,EDT256,,Pacific St. and Clark St.,,38.727241571024,-120.798006542328,,,0,,
785357,,,Bee St. & Coloma St. ,,38.7318170479751,-120.806927411744,,,0,,
782832,EDT328,,Pony Express Trail and Crystal Springs (East),,38.744373,-120.65697,,,0,,
782723,EDT300,,Safeway Plaza (Pony Express Trail),,38.762956,-120.577716,0,,0,,
782768,EDT414,,Pleasant Valley Rd. and Church St.,,38.682624,-120.848587,0,,0,,
782826,EDT182,,Q St. at 13th St.,,38.571293,-121.492385,0,,0,,
782824,EDT132,,9th St. at P St.,,38.573795,-121.497971,0,,0,,
782776,EDT404,,Child Development Center,,38.723291,-120.867427,0,,0,,
782828,EDT190,,Q St. at 21st St.,,38.568465,-121.48166,0,,0,,
782724,EDT304,,Pony Express Trail and Sanders Dr.,,38.758613,-120.590909,0,,0,,
782816,EDT120,,8th St. at K St.,,38.5800639100747,-121.496468409983,,,0,,
782789,EDT518,,Cameron Park Dr. and Green Valley Rd.,,38.698573,-120.995573,0,,0,,
782796,EDT546,,Greenwood Ln. and Meadow Ln.,,38.659366,-121.001859,,,0,,
782819,EDT140,,H St. at 14th St.,,38.58076,-121.486373,0,,0,,
782757,EDT252,,Health and Human Services (Briw Rd.),,38.720909,-120.828507,0,,0,,
782799,EDT912,,El Dorado Hills Park and Ride ,,38.647635,-121.066767,0,,0,,
782808,EDT166,,P St. at 16th St.,,38.571656,-121.488477,,,0,,
783755,EDT152,,N St. at 10th St.,,38.5757335151196,-121.495131977493,,,0,,
782834,EDT332,,Pony Express and Oak St.,,38.762711,-120.581238,,,0,,
782739,EDT236,,Coloma Court,,38.736372,-120.812364,0,,0,,
782727,EDT228,,Broadway and Schnell School Rd.,,38.732143,-120.779921,0,,0,,
782755,EDT220,,Big Lots (Fair Ln.),,38.722827,-120.832591,0,,0,,
782748,,,Hidden Springs Circle,,38.7365263052175,-120.831601373016,,,0,,
782803,,,Intel,,38.648093,-121.164998,0,,0,,
783758,EDT258,,3177 Turner St.,,38.726082,-120.790036,,,0,,
