route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1961,1597A2874,115086A1597B2874,,Missouri Flat Transfer Center,1,2662,0,0
1966,1597A2874,102243A1597B2874,,Placerville,,,1,0
1965,1597A2874,102227A1597B2874,,Sacramento,,,2,0
1961,1597A2874,115085A1597B2874,,Missouri Flat Transfer Center,1,2330,3,0
1968,1597A2874,115526A1597B2874,,Loop Route,,2335,4,0
1961,1597A2874,115082A1597B2874,,Missouri Flat Transfer Center,1,2330,3,0
1965,1597A2874,102349A1597B2874,,Sacramento,,,5,0
1970,1624A2899,102296A1624B2899,,Gold Country Inn,0,2339,6,0
1962,1597A2874,102177A1597B2874,,Broadway & Point View Dr.,0,2332,7,0
1965,1597A2874,102223A1597B2874,,Sacramento,,,8,0
1964,1597A2874,102201A1597B2874,,Loop Route,,2334,9,0
1970,1624A2899,102332A1624B2899,,Safeway Plaza,0,2337,6,0
1970,1624A2899,115074A1624B2899,,Missouri Flat Transfer Center,1,,10,0
1967,1597A2874,94937A1597B2874,,Placerville,0,,11,0
1961,1597A2874,102323A1597B2874,,Missouri Flat Transfer Center,1,2330,3,0
1966,1597A2874,102238A1597B2874,,Placerville,,,12,0
1961,1597A2874,114746A1597B2874,,Safeway Plaza,0,,13,0
1965,1597A2874,102232A1597B2874,,Sacramento,,,14,0
1962,1597A2874,102174A1597B2874,,Gold Country Inn,0,,15,0
1968,1597A2874,115075A1597B2874,,Loop Route,,2335,16,0
1970,1624A2899,102299A1624B2899,,Missouri Flat Rd.,1,2337,10,0
1966,1597A2874,102351A1597B2874,,Placerville,,,17,0
1966,1613A2889,102246A1613B2889,,Placerville,,,18,0
1963,1597A2874,94887A1597B2874,,Diamond Springs,,2333,19,0
1961,1597A2874,115087A1597B2874,,Missouri Flat Transfer Center,1,2330,3,0
1970,1624A2899,102336A1624B2899,,Missouri Flat Transfer Center,1,2337,10,0
1966,1597A2874,102242A1597B2874,,Placerville,,,20,0
1968,1597A2874,115071A1597B2874,,Loop Route,,2336,21,0
1966,1597A2874,102352A1597B2874,,Placerville,,,18,0
1962,1597A2874,102167A1597B2874,,Missouri Flat Transfer Center,1,2332,22,0
1970,1624A2899,102331A1624B2899,,Safeway Plaza,0,2339,6,0
1961,1597A2874,115078A1597B2874,,Safeway Plaza,0,2330,23,0
1961,1597A2874,114745A1597B2874,,Carson Rd. & Camino Ridge Dr.,0,2330,24,0
1962,1597A2874,94886A1597B2874,,Missouri Flat Transfer Center,1,2332,25,0
1970,1624A2899,102334A1624B2899,,Missouri Flat Transfer Center,1,2339,10,0
1968,1597A2874,115524A1597B2874,,Loop Route,,2335,4,0
1962,1597A2874,102337A1597B2874,,Missouri Flat Transfer Center,1,2332,26,0
1966,1597A2874,102240A1597B2874,,Placerville,,,27,0
1962,1597A2874,102165A1597B2874,,Missouri Flat Transfer Center,1,2338,26,0
1966,1613A2889,102241A1613B2889,,Placerville,,,28,0
1965,1597A2874,102230A1597B2874,,Sacramento,,,29,0
1962,1597A2874,94885A1597B2874,,Gold Country Inn,0,2338,15,0
1961,1597A2874,115080A1597B2874,,Safeway Plaza,0,2330,23,0
1961,1597A2874,115079A1597B2874,,Safeway Plaza,0,2662,23,0
1967,1597A2874,94938A1597B2874,,Sacramento,1,,30,0
1966,1597A2874,102236A1597B2874,,Placerville,,,31,0
1970,1624A2899,102330A1624B2899,,Safeway Plaza,0,2339,6,0
1961,1597A2874,102326A1597B2874,,Missouri Flat Transfer Center,1,2330,3,0
1968,1597A2874,102214A1597B2874,,Loop Route,,2336,16,0
1970,1624A2899,102335A1624B2899,,Missouri Flat Transfer Center,1,2339,10,0
1963,1597A2874,102179A1597B2874,,Loop Route,,2333,19,0
1965,1597A2874,102221A1597B2874,,Sacramento,,,32,0
1966,1597A2874,102245A1597B2874,,Placerville,,,33,0
1968,1597A2874,115523A1597B2874,,Loop Route,,2336,16,0
1966,1597A2874,102247A1597B2874,,Placerville,,,34,0
1968,1597A2874,102219A1597B2874,,,,2336,35,0
1961,1597A2874,115081A1597B2874,,Safeway Plaza,0,2330,23,0
1961,1597A2874,115088A1597B2874,,Missouri Flat Transfer Center,1,2662,3,0
1968,1597A2874,102217A1597B2874,,Loop Route,,2335,16,0
1965,1613A2889,102350A1613B2889,,Sacramento,,,36,0
1962,1597A2874,102338A1597B2874,,Missouri Flat Transfer Center,1,2338,26,0
1962,1597A2874,102173A1597B2874,,Gold Country Inn,0,2332,15,0
1962,1597A2874,102175A1597B2874,,Gold Country Inn,0,2332,15,0
1962,1597A2874,102166A1597B2874,,Placerville,1,,37,0
1965,1597A2874,102225A1597B2874,,Sacramento,,,38,0
1970,1624A2899,102295A1624B2899,,Safeway Plaza,0,2337,6,0
1963,1597A2874,102178A1597B2874,,Loop Route,,2333,19,0
1968,1597A2874,102216A1597B2874,,Loop Route,,2336,16,0
1965,1597A2874,102228A1597B2874,,Sacramento,,,39,0
1970,1624A2899,115072A1624B2899,,Safeway Plaza,0,2337,6,0
1968,1597A2874,115525A1597B2874,,Loop Route,,2336,16,0
1964,1597A2874,94888A1597B2874,,Cameron Park,,2334,40,0
1961,1597A2874,94881A1597B2874,,Safeway Plaza,0,2662,23,0
1962,1597A2874,102171A1597B2874,,Placerville,1,,37,0
1961,1597A2874,115084A1597B2874,,Missouri Flat Transfer Center,1,2662,3,0
1962,1597A2874,102339A1597B2874,,Gold Country Inn,0,2332,15,0
1961,1597A2874,115083A1597B2874,,Missouri Flat Transfer Center,1,2662,3,0
1967,1597A2874,102248A1597B2874,,Placerville,0,,41,0
1966,1597A2874,102237A1597B2874,,Placerville,,,42,0
1970,1624A2899,115073A1624B2899,,Missouri Flat Transfer Center,1,2339,10,0
1968,1597A2874,102218A1597B2874,,Loop Route,,2335,43,0
1968,1597A2874,102215A1597B2874,,Loop Route,,2335,16,0
1962,1597A2874,102176A1597B2874,,Broadway & Point View Dr.,0,2338,44,0
1965,1597A2874,102229A1597B2874,,Sacramento,,,45,0
1962,1597A2874,102169A1597B2874,,Missouri Flat Transfer Center,1,2338,26,0
1961,1597A2874,114744A1597B2874,,Safeway Plaza,0,2662,23,0
1970,1624A2899,102333A1624B2899,,Safeway Plaza,0,2337,6,0
